Dykker,Skaller (kg),BMS (g),Total (g),Station,Ring area,Skrab,Total fangst (kg),Total (kg),BMS (kg),BMS (kg),Area
5,,,3500,555,0.28,5,99.5,,,,
6,,,3000,555,0.28,,,,,,
7,,,3300,555,0.28,,,,,,
8,,,1700,555,0.28,,,,,,
9,,,1800,555,0.28,,,,,,
10,,,700,555,0.28,,,,,,
11,,,0,555,0.28,,,,,,
12,,100,1300,555,0.28,,,,,,
13,,,1600,555,0.28,,,,,,
14,,,75,555,0.28,,,,,,
15,,250,1400,555,0.28,,,,,,
16,,,50,555,0.28,,,,,,
17,,,25,555,0.28,,,,,,
18,,,1900,555,0.28,,,,,,
19,,800,1900,555,0.28,,,,,,
20,,,3200,555,0.28,,,,,,
